title,url
fa-paper-plane: Font Awesome Icons,https://fontawesome.com/v4.7/icon/paper-plane
Font Awesome,https://fontawesome.com/?utm_source=v4_homepage&utm_medium=display&utm_campaign=fa5_released&utm_content=banner
Unnamed,https://fontawesome.com/v4.7/icon/paper-plane../
Font Awesome,https://fontawesome.com
Unnamed,https://fontawesome.com/v4.7/icon/paper-plane/v3.2.1
Font Awesome,https://fontawesome.com/?utm_source=font_awesome_homepage&utm_medium=display&utm_campaign=fa5_released&utm_content=auto_modal
